"t","Psi","X","Mu","sample"
0.778298726983582,16,39,40,"83"
0.781662825403467,16,38,41,"83"
0.781726736171839,16,39,41,"83"
0.784525552964633,16,40,41,"83"
0.788043503655132,16,41,41,"83"
0.789422194277702,16,42,41,"83"
0.793373820085317,16,43,41,"83"
0.79710573476324,16,44,41,"83"
0.797925827267631,16,45,41,"83"
0.799054698503181,16,44,42,"83"
0.806482926821579,16,45,42,"83"
0.806706145733872,16,46,42,"83"
0.8160303974861,16,45,43,"83"
0.817868319930198,16,46,43,"83"
0.818965626433146,16,47,43,"83"
0.820633190977655,17,46,43,"83"
0.821217276843883,17,45,44,"83"
0.823574733802485,17,44,45,"83"
0.824684121976884,17,45,45,"83"
0.825643985374256,17,44,46,"83"
0.826057911203739,17,45,46,"83"
0.826262763419468,17,46,46,"83"
0.832764640050277,17,45,47,"83"
0.835899990929924,17,46,47,"83"
0.835934819506618,17,45,48,"83"
0.839084410292401,17,46,48,"83"
0.839377434139039,17,45,49,"83"
0.840040633824703,17,44,50,"83"
0.841052209678207,17,45,50,"83"
0.841101137000876,17,46,50,"83"
0.841180612681606,17,47,50,"83"
0.842269179869651,17,46,51,"83"
0.843189424185085,17,45,52,"83"
0.84492020881349,18,44,52,"83"
0.856668158858221,18,43,53,"83"
0.864807210199341,18,42,54,"83"
0.869601141399086,18,41,55,"83"
0.871713090655039,18,42,55,"83"
0.874773262623189,18,41,56,"83"
0.881456024828815,19,40,56,"83"
0.883141323206967,19,39,57,"83"
0.886866804609977,19,40,57,"83"
0.888537531680162,19,39,58,"83"
0.892159653166211,19,40,58,"83"
0.898132946247307,19,41,58,"83"
0.898180357651168,19,42,58,"83"
0.900387627142462,19,43,58,"83"
0.900422245166496,19,44,58,"83"
0.90188340305718,20,43,58,"83"
0.90270880758808,20,44,58,"83"
0.904459859984321,20,45,58,"83"
0.905410389721829,20,44,59,"83"
0.906835643127713,20,43,60,"83"
0.908162005128872,20,44,60,"83"
0.921009738201478,20,45,60,"83"
0.921576993606665,20,46,60,"83"
0.921619319349931,20,47,60,"83"
0.924086697375682,20,46,61,"83"
0.925599568465681,20,45,62,"83"
0.927062768502545,20,46,62,"83"
0.927157858060955,20,47,62,"83"
0.92907059805806,21,46,62,"83"
0.932196861392788,21,47,62,"83"
0.932962014323901,21,48,62,"83"
0.934770323457245,21,47,63,"83"
