"replicate","variable","value"
57,"R0.1",725.56301804713
58,"R0.1",1001
59,"R0.1",810.576610197784
60,"R0.1",1001
61,"R0.1",1001
62,"R0.1",1001
63,"R0.1",836.928746171427
64,"R0.1",1001
65,"R0.1",557.397930588691
66,"R0.1",781.994317732523
67,"R0.1",855.9374009564
68,"R0.1",652.094515989878
69,"R0.1",771.937543310847
70,"R0.1",769.733825859758
71,"R0.1",793.771365808975
72,"R0.1",729.915952803915
73,"R0.1",1001
74,"R0.1",910.557484441951
75,"R0.1",825.96460003102
76,"R0.1",692.27801294341
77,"R0.1",844.188122286639
78,"R0.1",892.404078749059
79,"R0.1",742.755557736646
80,"R0.1",897.057886212989
81,"R0.1",809.98696606317
82,"R0.1",642.233522114101
83,"R0.1",877.467929268661
84,"R0.1",631.594160963111
85,"R0.1",1001
86,"R0.1",744.429107751067
87,"R0.1",1001
88,"R0.1",912.880263177404
89,"R0.1",538.136251448658
90,"R0.1",708.705991998754
91,"R0.1",675.287850515506
92,"R0.1",677.45601526146
93,"R0.1",888.861570699385
94,"R0.1",604.024326623036
95,"R0.1",798.856021138485
96,"R0.1",826.098134601528
97,"R0.1",861.424345464341
98,"R0.1",830.641526672936
99,"R0.1",744.102290609835
100,"R0.1",580.704099254806
1,"R0.2",365.285798840582
2,"R0.2",871.314160107529
3,"R0.2",777.714782263137
4,"R0.2",1001
5,"R0.2",1001
6,"R0.2",660.333239352189
7,"R0.2",808.977408268959
8,"R0.2",760.707659458158
9,"R0.2",880.581799784767
10,"R0.2",434.258517364234
11,"R0.2",624.390295961159
12,"R0.2",697.536006944059
13,"R0.2",901.491364215853
14,"R0.2",653.333582922687
15,"R0.2",848.167998453562
16,"R0.2",471.835624833003
17,"R0.2",563.855179658165
18,"R0.2",396.355507909658
19,"R0.2",874.51334987822
20,"R0.2",665.491736009135
21,"R0.2",813.395518512953
22,"R0.2",847.034519979147
23,"R0.2",429.814056695593
24,"R0.2",808.591506371182
25,"R0.2",450.022861568022
26,"R0.2",575.215471774862
27,"R0.2",671.791188671625
28,"R0.2",491.865148624272
